id,created_at,location,node,anchor,crc_identification
952,2022-05-21 09:55:58.834956+00,"{""x"":25,""y"":25,""z"":2}",1,,
927,2022-05-21 09:54:24.438622+00,"{""x"":33,""y"":31,""z"":34}",1,,
926,2022-05-21 09:54:22.894961+00,"{""x"":19,""y"":35,""z"":-19}",1,,
924,2022-05-21 09:54:18.881828+00,"{""x"":41,""y"":35,""z"":-18}",1,,
921,2022-05-21 09:54:12.95403+00,"{""x"":36,""y"":36,""z"":4}",1,,
917,2022-05-21 09:54:08.684599+00,"{""x"":45,""y"":16,""z"":-28}",1,,
916,2022-05-21 09:54:07.380324+00,"{""x"":46,""y"":27,""z"":4}",1,,
888,2022-05-21 09:53:25.9296+00,"{""x"":61,""y"":36,""z"":4}",1,,
877,2022-05-21 09:53:10.480035+00,"{""x"":62,""y"":25,""z"":1}",1,,
850,2022-05-21 09:52:22.732372+00,"{""x"":65,""y"":19,""z"":-18}",1,,
848,2022-05-21 09:52:18.377753+00,"{""x"":51,""y"":16,""z"":-21}",1,,
847,2022-05-21 09:52:16.876615+00,"{""x"":51,""y"":21,""z"":-17}",1,,
841,2022-05-21 09:52:06.879462+00,"{""x"":30,""y"":15,""z"":-11}",1,,
840,2022-05-21 09:52:05.285864+00,"{""x"":22,""y"":10,""z"":-15}",1,,
839,2022-05-21 09:52:03.848385+00,"{""x"":19,""y"":11,""z"":0}",1,,
837,2022-05-21 09:52:00.554116+00,"{""x"":14,""y"":13,""z"":0}",1,,
836,2022-05-21 09:51:59.158285+00,"{""x"":16,""y"":15,""z"":1}",1,,
835,2022-05-21 09:51:57.38854+00,"{""x"":17,""y"":9,""z"":-1}",1,,
834,2022-05-21 09:51:56.000458+00,"{""x"":6,""y"":17,""z"":2}",1,,
826,2022-05-21 09:51:44.071812+00,"{""x"":4,""y"":12,""z"":1}",1,,
